Text,Class
 si quer limit uso comodin unic pregunt eleg usar mism conjunt dat priv aplic cre conjunt dat ello refier conjunt existent  ,cuestionarios
 si quer comodin dispon pregunt eleg usar nuev conjunt dat compart  ,cuestionarios
 opcion sincroniz permit obten mism valor tod pregunt cuestionari ejempl valor primer pregunt pid perimetr circul radiocm segund pregunt pid superfici circul radiocm ,cuestionarios
 sin embarg sincroniz sol funcion si pregunt guard mism categor mism numer conjunt dat datasets ,cuestionarios
 puls siguient pagin defin conjunt dat comodin definicion variabl conjunt dat pued hac form manual aleatori informcion document moodl ,cuestionarios
 calcul simpl  ,cuestionarios
 tip pregunt ofrec interfaz simplific unic pagin encontr mism opcion primer pagin pregunt calcul salv part inferior encuentr opcion encuentr comodin x present formul respuest correct  ,cuestionarios
 puls opcion desplieg nuev seccion permit gener conjunt valor cad comodin cre  ,cuestionarios
 calcul opcion multipl ,cuestionarios
 tip pregunt mism funcion tip calcul salv present form opcion multipl imag siguient muestr ejempl pregunt sobreimprim valor enunci  opcion respuest  introduc formulari edicion pregunt  ,cuestionarios
 pregunt present visual emparej arrastr solt cloz ,cuestionarios
 dentr opcion tip pregunt dispon exist conjunt opcion permit present dinam visual list continu opcion correspondient enlac pagin document moodl  ,cuestionarios
 pregunt emparej emparej aleatori bas pregunt tip respuest cort  ,cuestionarios
  arrastr solt marcador arrastr solt imag arrastr solt text ,cuestionarios
 respuest anid cloz elig palabr perd ,cuestionarios
 pregunt ensay ,cuestionarios
 permit realiz pregunt abiert dentr cuestionari pued inclu archiv adjunt plantill siguient imag muestr opcion format respuest  editor extension opcion relat archiv adjunt  plantill  inform evalu   ,cuestionarios
 pregunt aun deb calific form manual pued combin pregunt cuestionari configur cualqui tip configur automat retroaliment difer retroaliment inmediat no necesari utiliz retroaliment manual cuestionari   ,cuestionarios
 siguient imag muestr cuestionari intent realiz pregunt  ensay no calific puls requier calif  permit acced formulari introduc not comentari ventan emergent sin embarg calif no trasl form automat tabl necesari puls volv calific intents seleccion  marc aquell intents des actualiz  ,cuestionarios
 objet cuestionari orient revision practic pued evit obstacul calif atribu pregunt ensay puntuacion  maner pued usar pregunt induc reflexion personal no asoci ningun calif ver apart  seleccion pregunts pagin mostr pregunts azar ,cuestionarios
 elabor cuestionari  organiz herramient ,cuestionarios
