Text,Class
 imag siguient muestr mod acces sal virtual cre cre sal virtual no vincul egel  egelpi tod loas asistent salv credora aul entraran invit primer deb eleg rol asoci entrad invit particip present  continu copi enlac  pued envi proced traves mensaj corre electron ejempl recomiend usar rol particip siempr ajust dinam sesion ver apart  rol sal virtual ,2
 enlac particip acced direct sal despues escrib nombr quier aparec no necesari cont credencial ldap acced sal ,2
 sin embarg muestr imag siguient creador sal deb acced ten rol moder puls tres punt  continu unirs reunion   ,2
 ademas creador sal pued ofrec numer ingres telefon particip no dispong conexion internet enlac permit escuch habl no ver conten mostr pantall  ,2
 entrad sal virtual blackboard collaborat ultra ,3
 compatibil naveg sistem oper ,3
 direccion pued encontr inform actualiz naveg sistem oper  ,3
  ,3
 siguient tabl descarg  combin sistem oper naveg compat destac import utiliz version actualiz naveg ,3
 ajust perifer ,3
 comprob sal audi local entrar ,3
 entrar sal convien comprob sal audi seleccion equip siguient imag muestr opcion configur equip windows  sistem oper  ,3
 siguient imag muestr cuadr dialog seleccion disposit reproduccion  ,3
 cuadr dialog aparec disposit reproduccion audi dispon equip tick verd indic disposit predetermin marc predetermin disposit clic boton derech disposit des marc opcion correspondient ,3
 compart microfon entrad audi ,3
 inici sesion aparec cuadr dialog indic disposit predetermin entrad audi  muestr nivel son entra via  ademas menu despleg  permit seleccion rest disposits dispon equip  ,3
 si audi satisfactori puls funcion  cas contrari puls no necesit ayud acced web soport blackboard collaborat  ,3
 posibl naveg no herramient hag eleccion captur tom firefox  ,3
 mejor calid audi sesion evit retorn recomiend utiliz casc microfon integr import manten minim necesari microfons activ sesion  ,3
 compart cam ,3
 despues seleccion disposit entrad audi cuadr dialog naveg pid permis usar disposit cam  ,3
 captur chrom ,3
 captur firefox ,3
 continu herramient pid confirm cam list uso puls funcion  imag cam no compart activ usand boton icon cam control part inferior pagin    ,3
 ajust audi vide ,3
 imag siguient muestr opcion apart ajust audi vide pestañ ajust panel despleg derech ver apart  funcional sal virtual localiz ubic panel derech   ,3
 si disposit no funcion correct pued reinici proces asign permis seleccion apart configur cam microfon  dich apart ,3
 ademas cad particip reunion pued usar numer sal pin personal  recib emit audi cad pin correspond usuari anul entrad sal convencional audi llam cost correspondient llam interprovincial  ,3
 part pued revoc permis otorg naveg puls element indic  ,3
 tutorial tour usuari ,3
 realiz primer entrad sal virtual equip aparec opcion inici tutorial  salt opcion puls tard  ,3
 rol sal virtual ,4
 exist tres rol diferenci dentr sal virtual ,4
 rol moder pued gestion usuari sal rol present conten inici grabacion rol  profesor acced sal virtual aul virtual egel  egel pi  cre sal virtual pagin  ver apart  creacion sal virtual no vincul egel  egelpi ,4
 rol present pued compart pizarr pantall archiv no pued usar rest opcion pestañ compart conten sonde temporiz grup trabaj tampoc pued gestion usuari grabacion ,4
 permis rol particip defin ajust sesion rol alumn acced sal virtual aul virtual egel  egel ,4
 sal cre pagin  loas usuari entran invit permis determin configur ver apart  creacion sal virtual no vincul egel  egelpi ,4
 present conten gestion sal ,5
 imag siguient muestr captur pantall complet panel izquierd despleg  ,5
 destac siguient element ,5
 panel despleg izquierd pued despleg icon part superior izquierd  panel opcion inici grabacion  cerr sesion   ,5
 panel despleg derech pued despleg icon part inferior derech  part inferior icons acced distint pestañ chat asistent compart conten ajust  ,5
 control part inferior central ajust compart audi compart vide levant man  ,5
 inici  deten grabacion cerr sesion opcion panel izquierd rol moder ,5
 apart destac funcional grabacion inici muestr imag  ver adel apart especif gestion grabacion ademas part inferior encuentr opcion cerr sesion   ,5
 gestion conten asistent permis sal ajust personal opcion panel derech rol moder ,5
 ajust ajust personal ajust sal ,5
 ajust audi vide ,5
 opcion apart trat apart  ajust perifer consult apart  manual ,5
 ajust notif ,5
 ajust permit gestion notif algui uni abandon grup sesion trabaj algui public mensaj chat algui levant man ajust personal  comienz sesion convien explic loas particip pued escog configur convien   ,5
 ajust sesion ,5
 apart especific permis rol particip cre sal egel  egelpi permis aparec marc defect recomiend cambi configur preven retorn asegur buen calid transmision  ,5
 compart conten compart pantall present archiv pizarr interact ,5
 compart pizarr blanc ,5
 pizarr permit realiz traz hac form escrib text  ,5
 compart aplic  pantall ,5
 puls compart aplic  pantall  aparec ventan emergent pued pued seleccion tod pantall  ventan aplic  pestañ chrom   despues seleccion opcion  boton compart qued activ   ,5
  captur tom naveg chrom  ,5
  opcion sol dispon usa naveg chrom  ,5
 cas compart tod pantall mism ventan realiz reunion opcion ventan aplic form bucl conten mism muestr continu  ,5
 si ocurr suficient cambi pestañ cierr bucl evit ocurr pued segu siguient proced  ,5
 utiliz dos ventan naveg pagin reunion virtual conten quer mostr ,5
 hor compart conten escog opcion ventan aplic seleccion ventan no reunion virtual  ,5
 ademas si escog opcion tod pantall pestañ chrom  utiliz naveg chrom posibl transmit audi reproduc mism imag siguient seleccion portal youtub upvehu  marc opcion compart audi  ,5
 dej compart conten puls icon stop part superior derech   ,5
 compart archiv ,5
 compart archiv pinch agreg archivs  arrastr archiv rectangul gris  ,5
 indic imag sol pued compart archiv imag present powerpoint pdf  ,5
 imagen deb convert ser mostr proces  pued tard dos minut archiv tamañ grand recomend sub archiv comenz sesion alumn  ,5
 vez archiv convert pued puls compart ahor   ,5
 puls compart ahor pagin document dispon ser compart  no seleccion no muestr pantall particip  ,5
 seleccion pagin  muestr pantall rest particip control part inferior  permit avanz pagins siguient  ,5
 archiv sol dispon profesor moment compart  ,5
 asistent list asistent convert present ,5
 apart pued ver list particip organiz rol muestr imag siguient  ,5
 cad asistent sal pued ver si microfon activ  nombr  calid señal  control asistent   ,5
 siguient imag muestr opcion inclu control asistent  ,5
 control moder permit accion envi mensaj chat direct convert present silenci elimin sesion silenci usuari no elimin permis volv activ microfon trat herramient silenci microfon produc retorn evit rol particip pued activ microfon ver apart  ajust sesion   ,5
 siguient imag muestr com asign rol present usuari rol particip ,5
 chat ,5
 pestañ chat permit manten canal comun agil resolv dud solucion problem asistent problem conexion muestr imag chat rol moder general  ,5
 dinamiz interaccion sal control audi vide turn palabr ,6
 control cuent  element ajust compart audi  compart vide levant man  ,6
 ajust ,6
 puls control ajust  desplieg panel permit interactu loas asistent traves emoticon  ,6
 maner pued realiz sonde rap obten retroaliment form agil emoticon muestr list asistent  segund   ,6
 control audi vide ,6
 control permit activ desactiv audi vide reunion  ,6
 recomiend ,6
 desactiv audi no habl reduc posibil retorn provoc desagrad ruid fond  ,6
 desactiv vide si compart conten ocup mayor part pantall siempr apreci problem conect  ,6
 levant man ,6
 control levant man permit loas asistent pid palabr imag siguient muestr control activ ,6
 numer situ lad icon usuari permit identific orden ped palabr  ademas ventan emergent permit moder baj man peticion turn palabr  ,6
 grabacion ,7
 inici grabacion puls inici grabacion  panel lateral izquierd unic usuari rol moder pued acced opcion  ,7
 inici grabacion asistent pued ver señal indic  ademas mensaj emergent anunci comenz sesion   ,7
 deten grabacion puls deten grabacion  ,7
 grabacion curs egel  egelpi muestr pagin activ  ,7
 cas grabacion realiz sal cre   grabacion pued encontr column despleg izquierd  apart grabacion  puls nombr grabacion  aparec opcion mir ahor abrir reproduccion vide nuev pestañ naveg  ,7
 protocol manten elimin grabacion ,7
 reduc cost econom asoci manten grabacion establec protocol elimin automat  dias realiz protocol aplic tod plataform egel egelpi asi grabacion no vincul aul virtual  ,7
 tod grabacion pued descarg period si quier prolong acces grabacion alla period  dias propon dos opcion siguient  ,7
 repositori vide ehutb ,7
 servici ehutb  permit public vide restriccion vision colect departament profesor univers internet contraseñ  ,7
 pod sub conten multimedi servici ehutb primer necesari usuari dad alta servici ehutb solicitud dars alta servici ehutb hac traves cau  cauehueus  inform contact pagin   ,7
 formulari public vide  pestañ metadat  pued seleccion colect acces mism si quier realiz insercion vide egel necesari marc opcion internet  ,7
 ademas vez public vide pued establec contraseñ acced pestañ gestor conten seleccion vide establec contraseñ descend part inferior pagin acced tabl muestr imag  ,7
 pestañ public  pued modific perfil difusion  establec contraseñ  pued public curs egel egelpi junt enlac vide no pued hac insercion curss contraseñ acces  ,7
 inform manual ehutb  ,7
 almacen nub ehubox ,7
 tod cuent ldap colect pdi pas espaci gb almacen nub despues sub archiv vide directori pod usar icon compart  aparec siguient imag despleg panel opcion  pued cre enlac compart puls sign  destac roj   ,7
 vez cre enlac aparec icon permit copi portapapel enlac pued public curs llev pagin extern podr ver descarg muestr imag  ,7
 inform  ,7
 cre sal virtual conect egel  egelpi ,1
 pued cre sal virtual conect egel  egelpi ,1
 solicit aul virtual ,1
 pued solicit creacion aul virtual ,1
 configur sal virtual egel egelpi egel pi ,1
 cre sal blackboard bbc ,1
 acced sal egel egel pi ,1
 unirs sesion blackboard ,1
 unirs sesion bbc ,1
 creacion sal virtual no conect egel egelpi ,2
 no vincul egel ,2
 entrar sal virtual blackboard ,3
 entrar sal bbc ,3
 compatibil naveg sistem oper ,3
 compatibil sistem oper ,3
 ajust perifer ,3
 comprob sal audi local ,3
 compart microfon ,3
 compart cam ,3
 ajust audi vide ,3
 ajust vide ,3
 ajust audi ,3
 ajust audi vide ,3
 tutorial blackboard ,3
 rol sal virtual ,4
 rol blackboard ,4
 rol moder ,4
 rol present ,4
 rol particip ,4
 present conten ,5
 gestion sal ,5
 funcion panel lateral ,5
 inici grabacion ,5
 deten grabacion ,5
 cerr sesion ,5
 permis sal ,5
 compart conten  ,5
 compart pizarr blanc ,5
 ajust notificacion ,5
 ajust sesion ,5
 ajust sal ,5
 compart aplic  pantall ,5
 compart aplic ,5
 compart pantall ,5
 compart archiv ,5
 asistent sal ,5
 convert usuari present ,5
 ver informacion cad asistent ,5
 uso chat bbc ,5
 dinamiz iteraccion sal ,6
 ver ,6
 ver ajust ,6
 ver usuari ,6
 control baj audi vide ,6
 levant man ,6
 levant man habl ,6
 grabacion ,7
 grab clas bbc ,7
 deten grabacion bbc ,7
 sub grabacion egel ,7
 elimin grabacion ,7
 repositori vide ehutb ,7
 ehubox ,7
 almacen nuv ehubox ,7
 cre sal vincul egel ,1
 cre servici reunion extern ,2
 creacion blackboard no conect egel ,2
 cre sal extern ,2
 nuev blackboard exterior ,2
 pued cre nuev sal virtual sin vincul egel ,2
 cre clas blackboard egel ,1
 establec nombr sesion sal ,1
 activ mod grup ,1
 sesion ,1
 elij sal audi quier utiliz aul ,3
 configur sal audi bbc  ,3
 acces siti reunion bbc ,3
 present benefici frent particip  ,4
 mand pdf mediant bbc  ,5
 pued mand fot alumn sal bbc ,5
 pued ver alumn dentr sal ,5
 ver asistent clas ,5
 pued ver algun siti list particip  ,5
 pued ver si alumn microfon encend no  ,5
 pued ver si particip micr encend ,5
 manej control asistent ,5
 pued silenci alumn clas ,5
 posibl gestion turn palabr  ,6
 pued cambi situacion  ,6
 cre espaci reunion egel ,2
 pued divid grup alumn sal ,1
 quier cre siti reunion ,1
